"PlotID","Species","Greater_Less","Height"
"A2026C","NONE",NA,NA
"A2029T","NONE",NA,NA
"A2029C","NONE",NA,NA
"A2030C","NONE",NA,NA
"A2030T","NONE",NA,NA
"A2031T","NONE",NA,NA
"A2031C","NONE",NA,NA
"A2035T","NONE",NA,NA
"A2035C","NONE",NA,NA
"A2039T","NONE",NA,NA
"A2039C","NONE",NA,NA
"A2040T","NONE",NA,NA
"A2040C","NONE",NA,NA
"A2041T","NONE",NA,NA
"A2041C","NONE",NA,NA
"A4247C","NONE",NA,NA
"A4245T","NONE",NA,NA
"A4245C","NONE",NA,NA
"A4205I","NONE",NA,NA
"A4203I","NONE",NA,NA
"A4204I","NONE",NA,NA
"A4177C","NONE",NA,NA
"A4249T","NONE",NA,NA
"A4249C","NONE",NA,NA
"B1026T","NONE",NA,NA
"B1026C","NONE",NA,NA
"B1024T","NONE",NA,NA
"B1023T","NONE",NA,NA
"B1024C","NONE",NA,NA
"A1157T","NONE",NA,NA
"A1157C","NONE",NA,NA
"A1096T","NONE",NA,NA
"B1022T","NONE",NA,NA
"B1004C","NONE",NA,NA
"B1004T","NONE",NA,NA
"B1025C","NONE",NA,NA
"B1025T","NONE",NA,NA
"B1022C","NONE",NA,NA
"A1147C","NONE",NA,NA
"A1041T","NONE",NA,NA
"A4247T","NONE",NA,NA
"A4248C","NONE",NA,NA
"A4248T","NONE",NA,NA
"A4167C","NONE",NA,NA
"A4167T","NONE",NA,NA
"A4012C","NONE",NA,NA
"A4012T","NONE",NA,NA
"B1002C","QUCH","ALL",NA
"B1002T","NONE",NA,NA
"B1003C","QUCH","ALL",NA
"B1017C","NONE",NA,NA
"B1017T","QUCH","ALL RESPROUTING",NA
"B1021C","NONE",NA,NA
"B1021T","NONE",NA,NA
"D1016T","NONE",NA,NA
"D1016C","NONE",NA,NA
"D1000T","NONE",NA,NA
"D1092T","NONE",NA,NA
"D1092C","NONE",NA,NA
"D1099T","NONE",NA,NA
"B1007T","NONE",NA,NA
"B1007C","QUCH","ALL RESPROUTING",NA
"B1008C","NONE",NA,NA
"B1008T","NONE",NA,NA
"D1011C","NONE",NA,NA
"E0048I","NONE",NA,NA
"C2010C","NONE",NA,NA
"C2013T","NONE",NA,NA
"C2012T","NONE",NA,NA
"C2011T","ABCO","ALL",NA
"C2011T","ABMA","ALL",NA
"E0059I","NONE",NA,NA
"E0054I","NONE",NA,NA
"B1016T","QUCH","ALL RESPROUTING","ALL RESPROUTING"
"B1020C","NONE",NA,NA
"B1020T","NONE",NA,NA
"D1012T","NONE",NA,NA
"D1012C","NONE",NA,NA
"D1099C","NONE",NA,NA
"D1007T","NONE",NA,NA
"D1007C","NONE",NA,NA
"D1097T","NONE",NA,NA
"D1009C","NONE",NA,NA
"D1008C","NONE",NA,NA
"D1011T","NONE",NA,NA
"D1100T","NONE",NA,NA
"D1100C","NONE",NA,NA
"E0047I","NONE",NA,NA
"E0041I","NONE",NA,NA
"E0040I","NONE",NA,NA
"C2014T","NONE",NA,NA
"C2014C","NONE",NA,NA
"C2015T","NONE",NA,NA
"C2015C","NONE",NA,NA
"C2011C","NONE",NA,NA
"C2012C","NONE",NA,NA
"C2013C","NONE",NA,NA
"C2010T","NONE",NA,NA
"C1040C","NONE",NA,NA
"E0038I","NONE",NA,NA
"E0032T","NONE",NA,NA
"E0044I","NONE",NA,NA
